id,vin,name,make,model,modelYear,engineModel,engineManufacturer,bodyCabType,location,grossVehicleWeightRating
67aa21c48e23d045be89ed1c,3BPDL20X7LF108767,3317,PETERBILT,520,2020,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21c58e23d045be89ed5b,3BPDL20X8LF108759,3309,PETERBILT,520,2020,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21c58e23d045be89ed6b,3BPDL20XXLF106253,3301,PETERBILT,520,2020,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21c78e23d045be89edc0,3BPDL20X4LF108760,3310,PETERBILT,520,2020,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21ca8e23d045be89ee7f,3BPDL20X9MF110716,3329,PETERBILT,520,2021,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21ca8e23d045be89ee8b,3BPDL20X7MF110715,3328,PETERBILT,520,2021,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21cb8e23d045be89ee8f,3BPDL20X0MF110717,3330,PETERBILT,520,2021,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21cc8e23d045be89eecd,3BPDX20X8MF110887,3523,PETERBILT,520,2021,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21cd8e23d045be89ef67,5VCACDLE3GH221665,1604,AUTOCAR,Xpeditor,2016,ISL-GAS,Cummins-Westport,,3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21cd8e23d045be89ef6b,3BPDL20X5KF106241,3286,PETERBILT,520,2019,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
